word,antonim
kedamaian,kekacauan
kedatangan,keberangkatan
kedermawanan,kekikiran
kedinginan,kepanasan
kedukaan,kegembiraan
kedukacitaan,kesukacitaan
kedunguan,"kepandaian, kepintaran"
kedustaan,kebenaran
keelokan,keburukan
keeratan,kerenggangan
kegagalan,keberhasilan
keguyuban,keretakan
kehadiran,kemangkiran
kehalusan,kekasaran
kehebohan,ketenangan
keheningan,"kebisingan, keriuhan"
kehomogenan,keheterogenan
kejahatan,kebaikan
kejayaan,"kejatuhan, keruntuhan"
kejujuran,kecurangan
kekecilan,kebesaran
keketatan,kelonggaran
kekurangan,kelebihan
kelabilan,kestabilan
kelainan,normal
kelebihan,kekurangan
kelemahan,kelebihan
kelengangan,keramaian
kelenturan,kekakuan
keliru,benar
keluar,masuk
keluwesan,kekakuan
kemajemukan,"kehomogenan, homogenitas"
kemajuan,kemunduran
kemalangan,kemujuran
kemandirian,ketergantungan
kemandulan,fertilitas
kemantapan,"instabilitas, ketakstabilan"
kemaslahatan,kemudaratan
kematian,kehidupan
kembung,kempis
kemiskinan,kekayaan
kempis,kembung
kemudahan,"kesulitan, kesukaran, kesusahan"
kemunafikan,kejujuran
kemunduran,kemajuan
kemurungan,keceriaan
kenakalan,"kealiman, kepatuhan"
kencang,lambat
kental,cair
kepandiran,kepandaian
kepanikan,ketenangan
kepapaan,"kekayaan, kemewahan"
kepelikan,kemudahan
kepenatan,kebugaran
kependekan,kepanjangan
kepergian,kedatangan
kepintaran,kebodohan
kepuasan,kekecewaan
kepudaran,ketenaran
keraguan,keyakinan
kerajinan,kemalasan
keramaian,keheningan
kerendahan,"tegak, seimbang"
kerugian,keuntungan
kesangsian,keyakinan
kesayuan,kegembiraan
kesederhanaan,"kecanggihan, kerumitan"
kesedihan,kegembiraan
kesenangan,kesedihan
kesengsaraan,kesenangan
kesenyapan,kebisingan
keseragaman,"kebinekaan, keberagaman"
kesesuaian,ketimpangan
kesombongan,kerendah-hatian
kesukaran,kemudahan
kesuksesan,kegagalan
kesulitan,kemudahan
ketebalan,kelemahan
ketenangan,"kebisingan, kerusuhan"
keterusterangan,kebohongan
ketololan,kecerdikan
keuniversalan,kekhususan
keuntungan,kerugian
keutuhan,kerumpangan
kewanitaan,maskulin
kewaspadaan,kelalaian
keyakinan,"keraguan, kesangsian"
kezaliman,kebaikan
khas,umum
khusus,umum
khusyuk,main-main
kikir,dermawan
kiri,kanan
komedi,tragedi
konkret,abstrak
konotasi,denotasi
konotatif,denotatif
konsisten,inkonsisten
kontroversi,selaras
kredibilitas,keraguan
kreditor,debitur
kualitas,kuantitas
kuantitas,kualitas
laba,rugi
labil,stabil
labilitas,stabilitas
lahiriah,batiniah
lajang,menikah
laju,lambat
laki,perempuan
laki-laki,perempuan
lalai,acuh
lama,baru
lamat-lamat,jelas
lamban,cekatan
lambat,cepat
lambat-lambat,cepat-cepat
lambung,menurun
lampau,kini
lancar,terhambat
lancip,tumpul
langgeng,fana
langsing,gemuk
langsung,berhenti
lanjut,"muda, tunda"
lantik,mencopot
lara,gembira
larang,mengizinkan
lawas,"baru, modern, muda"
lazim,"aneh, ganjil"
lebat,jarang
lebih,kurang
lecek,rapi
lemah,kuat
lemas,bugar
lembah,bukit
lembang,kering
lempeng,belok
lengang,"ramai, penuh"
lenyap,muncul
lestari,fana
lesu,segar
liar,jinak
liat,rapuh
licik,lurus
lidah,gagap
lincah,lemas
logis,irasional
lokal,internasional
loyo,segar
luar,dalam
luas,sempit
lunak,padat
lunglai,segar
lupa,ingat
lurus,bengkok
lusuh,rapi
luwes,kaku
macet,lancar
majal,tajam
majemuk,tunggal
majir,subur
makcik,pakcik
makmum,imam
makrokosmos,mikrokosmos
maksimal,minimal
maksimum,minimum
malam,siang
malang,mujur
malas,"rajin, cekatan"
malu,berani
mama,papa
mamang,tenang
mambung,"berisi, berdaging"
mampal,runcing
mampat,berongga
mancung,pesek
mandek,berjalan
mandiri,bergantung
mandul,"fertil, subur"
manfaat,"mudarat, rugi"
manggak,tamadun
mangkak,"kecil, hati"
manja,"dewasa, mandiri"
mantap,bimbang
mantiki,irasional
mapan,goyah
mara,mundur
marak,"sepi, padam"
mas,embak
masak,"mentah, muda"
maskulin,feminim
maslahat,mudarat
masuk,keluar
masukan,keluaran
masyhur,"biasa, kebanyakan"
matang,"mentah, muda"
mati,"hidup, bernyawa"
mau,"enggan, sungkan"
maya,nyata
mayor,minor
mayoritas,minoritas
medit,"derma, murah, hati"
megah,sederhana
melalaikan,mengacuhkan
melandai,menanjak
melar,ciut
melawan,mendukung
melebur,memadat
meleburkan,memadatkan
melek,"buta, huruf, niraksara"
melekat,melepas
melekatkan,melepaskan
melemah,menguat
melengserkan,melantik
melenyapkan,memunculkan
melepas,mengikat
melepaskan,mengungkung
